M	J
CC: natural language	CC: natural language
CS: short	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CC: natural language	CC: natural language
CS: short	CS: short
CS: short	CS: short
CS: short	CS: short
CC: natural language	CC: natural language
CC: natural language	CC: natural language
CS: short	CS: short
CS: short	CS: short